2017-05-24 08:09:11 startup archives install
2017-05-24 08:09:22 status unpacked dash:armhf 0.5.7-3
2017-05-24 08:09:22 status unpacked dash:armhf 0.5.7-3
2017-05-24 08:09:22 install libdb5.1:armhf <none> 5.1.29-5
2017-05-24 08:09:22 status half-installed libdb5.1:armhf 5.1.29-5
2017-05-24 08:09:22 status unpacked libdb5.1:armhf 5.1.29-5
2017-05-24 08:09:22 status unpacked libdb5.1:armhf 5.1.29-5
2017-05-24 08:09:22 upgrade debconf:all 1.5.49 1.5.49
2017-05-24 08:09:22 status half-configured debconf:all 1.5.49
2017-05-24 08:09:23 status unpacked debconf:all 1.5.49
2017-05-24 08:09:23 status half-installed debconf:all 1.5.49
2017-05-24 08:09:23 status half-installed debconf:all 1.5.49
2017-05-24 08:09:23 status unpacked debconf:all 1.5.49
2017-05-24 08:09:23 status unpacked debconf:all 1.5.49
2017-05-24 08:09:23 install debconf-i18n:all <none> 1.5.49
2017-05-24 08:09:23 status half-installed debconf-i18n:all 1.5.49
2017-05-24 08:09:23 status unpacked debconf-i18n:all 1.5.49
2017-05-24 08:09:23 status unpacked debconf-i18n:all 1.5.49
2017-05-24 08:09:23 install debianutils:armhf <none> 4.3.2
2017-05-24 08:09:23 status half-installed debianutils:armhf 4.3.2
2017-05-24 08:09:23 status unpacked debianutils:armhf 4.3.2
2017-05-24 08:09:23 status unpacked debianutils:armhf 4.3.2
2017-05-24 08:09:23 install diffutils:armhf <none> 1:3.2-6
2017-05-24 08:09:23 status half-installed diffutils:armhf 1:3.2-6
2017-05-24 08:09:23 status unpacked diffutils:armhf 1:3.2-6
2017-05-24 08:09:23 status unpacked diffutils:armhf 1:3.2-6
2017-05-24 08:09:23 upgrade dpkg:armhf 1.16.18 1.16.18
2017-05-24 08:09:23 status half-configured dpkg:armhf 1.16.18
2017-05-24 08:09:23 status unpacked dpkg:armhf 1.16.18
2017-05-24 08:09:23 status half-installed dpkg:armhf 1.16.18
2017-05-24 08:09:24 status half-installed dpkg:armhf 1.16.18
2017-05-24 08:09:24 status unpacked dpkg:armhf 1.16.18
2017-05-24 08:09:24 status unpacked dpkg:armhf 1.16.18
2017-05-24 08:09:24 install e2fslibs:armhf <none> 1.42.5-1.1+deb7u1
2017-05-24 08:09:24 status half-installed e2fslibs:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:24 status unpacked e2fslibs:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:24 status unpacked e2fslibs:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:24 install e2fsprogs:armhf <none> 1.42.5-1.1+deb7u1
2017-05-24 08:09:24 status half-installed e2fsprogs:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:24 status unpacked e2fsprogs:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:24 status unpacked e2fsprogs:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:24 install libcomerr2:armhf <none> 1.42.5-1.1+deb7u1
2017-05-24 08:09:24 status half-installed libcomerr2:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:24 status unpacked libcomerr2:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:24 status unpacked libcomerr2:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:25 install libss2:armhf <none> 1.42.5-1.1+deb7u1
2017-05-24 08:09:25 status half-installed libss2:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:25 status unpacked libss2:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:25 status unpacked libss2:armhf 1.42.5-1.1+deb7u1
2017-05-24 08:09:25 install libc-bin:armhf <none> 2.13-38+deb7u10
2017-05-24 08:09:25 status half-installed libc-bin:armhf 2.13-38+deb7u10
2017-05-24 08:09:25 status unpacked libc-bin:armhf 2.13-38+deb7u10
2017-05-24 08:09:25 status unpacked libc-bin:armhf 2.13-38+deb7u10
2017-05-24 08:09:25 upgrade libc6:armhf 2.13-38+deb7u10 2.13-38+deb7u10
2017-05-24 08:09:25 status half-configured libc6:armhf 2.13-38+deb7u10
2017-05-24 08:09:25 status unpacked libc6:armhf 2.13-38+deb7u10
2017-05-24 08:09:25 status half-installed libc6:armhf 2.13-38+deb7u10
2017-05-24 08:09:27 status half-installed libc6:armhf 2.13-38+deb7u10
2017-05-24 08:09:27 status unpacked libc6:armhf 2.13-38+deb7u10
2017-05-24 08:09:27 status unpacked libc6:armhf 2.13-38+deb7u10
2017-05-24 08:09:27 install multiarch-support:armhf <none> 2.13-38+deb7u10
2017-05-24 08:09:27 status half-installed multiarch-support:armhf 2.13-38+deb7u10
2017-05-24 08:09:27 status unpacked multiarch-support:armhf 2.13-38+deb7u10
2017-05-24 08:09:27 status unpacked multiarch-support:armhf 2.13-38+deb7u10
2017-05-24 08:09:27 install findutils:armhf <none> 4.4.2-4
2017-05-24 08:09:27 status half-installed findutils:armhf 4.4.2-4
2017-05-24 08:09:27 status unpacked findutils:armhf 4.4.2-4
2017-05-24 08:09:27 status unpacked findutils:armhf 4.4.2-4
2017-05-24 08:09:28 install gcc-4.7-base:armhf <none> 4.7.2-5
2017-05-24 08:09:28 status half-installed gcc-4.7-base:armhf 4.7.2-5
2017-05-24 08:09:28 status unpacked gcc-4.7-base:armhf 4.7.2-5
2017-05-24 08:09:28 status unpacked gcc-4.7-base:armhf 4.7.2-5
2017-05-24 08:09:28 install libgcc1:armhf <none> 1:4.7.2-5
2017-05-24 08:09:28 status half-installed libgcc1:armhf 1:4.7.2-5
2017-05-24 08:09:28 status unpacked libgcc1:armhf 1:4.7.2-5
2017-05-24 08:09:28 status unpacked libgcc1:armhf 1:4.7.2-5
2017-05-24 08:09:28 install grep:armhf <none> 2.12-2
2017-05-24 08:09:28 status half-installed grep:armhf 2.12-2
2017-05-24 08:09:28 status unpacked grep:armhf 2.12-2
2017-05-24 08:09:28 status unpacked grep:armhf 2.12-2
2017-05-24 08:09:28 install gzip:armhf <none> 1.5-1.1
2017-05-24 08:09:28 status half-installed gzip:armhf 1.5-1.1
2017-05-24 08:09:28 status unpacked gzip:armhf 1.5-1.1
2017-05-24 08:09:28 status unpacked gzip:armhf 1.5-1.1
2017-05-24 08:09:28 install hostname:armhf <none> 3.11
2017-05-24 08:09:28 status half-installed hostname:armhf 3.11
2017-05-24 08:09:28 status unpacked hostname:armhf 3.11
2017-05-24 08:09:28 status unpacked hostname:armhf 3.11
2017-05-24 08:09:28 install insserv:armhf <none> 1.14.0-5
2017-05-24 08:09:28 status half-installed insserv:armhf 1.14.0-5
2017-05-24 08:09:28 status unpacked insserv:armhf 1.14.0-5
2017-05-24 08:09:28 status unpacked insserv:armhf 1.14.0-5
2017-05-24 08:09:28 install liblocale-gettext-perl:armhf <none> 1.05-7+b3
2017-05-24 08:09:28 status half-installed liblocale-gettext-perl:armhf 1.05-7+b3
2017-05-24 08:09:28 status unpacked liblocale-gettext-perl:armhf 1.05-7+b3
2017-05-24 08:09:28 status unpacked liblocale-gettext-perl:armhf 1.05-7+b3
2017-05-24 08:09:29 install libselinux1:armhf <none> 2.1.9-5
2017-05-24 08:09:29 status half-installed libselinux1:armhf 2.1.9-5
2017-05-24 08:09:29 status unpacked libselinux1:armhf 2.1.9-5
2017-05-24 08:09:29 status unpacked libselinux1:armhf 2.1.9-5
2017-05-24 08:09:29 install libsemanage-common:all <none> 2.1.6-6
2017-05-24 08:09:29 status half-installed libsemanage-common:all 2.1.6-6
2017-05-24 08:09:29 status unpacked libsemanage-common:all 2.1.6-6
2017-05-24 08:09:29 status unpacked libsemanage-common:all 2.1.6-6
2017-05-24 08:09:29 install libsemanage1:armhf <none> 2.1.6-6
2017-05-24 08:09:29 status half-installed libsemanage1:armhf 2.1.6-6
2017-05-24 08:09:29 status unpacked libsemanage1:armhf 2.1.6-6
2017-05-24 08:09:29 status unpacked libsemanage1:armhf 2.1.6-6
2017-05-24 08:09:29 install libsepol1:armhf <none> 2.1.4-3
2017-05-24 08:09:29 status half-installed libsepol1:armhf 2.1.4-3
2017-05-24 08:09:29 status unpacked libsepol1:armhf 2.1.4-3
2017-05-24 08:09:29 status unpacked libsepol1:armhf 2.1.4-3
2017-05-24 08:09:29 install libtext-charwidth-perl:armhf <none> 0.04-7+b2
2017-05-24 08:09:29 status half-installed libtext-charwidth-perl:armhf 0.04-7+b2
2017-05-24 08:09:29 status unpacked libtext-charwidth-perl:armhf 0.04-7+b2
2017-05-24 08:09:29 status unpacked libtext-charwidth-perl:armhf 0.04-7+b2
2017-05-24 08:09:29 install libtext-iconv-perl:armhf <none> 1.7-5
2017-05-24 08:09:29 status half-installed libtext-iconv-perl:armhf 1.7-5
2017-05-24 08:09:29 status unpacked libtext-iconv-perl:armhf 1.7-5
2017-05-24 08:09:29 status unpacked libtext-iconv-perl:armhf 1.7-5
2017-05-24 08:09:29 install libtext-wrapi18n-perl:all <none> 0.06-7
2017-05-24 08:09:29 status half-installed libtext-wrapi18n-perl:all 0.06-7
2017-05-24 08:09:29 status unpacked libtext-wrapi18n-perl:all 0.06-7
2017-05-24 08:09:29 status unpacked libtext-wrapi18n-perl:all 0.06-7
2017-05-24 08:09:30 install lsb-base:all <none> 4.1+Debian8+deb7u1
2017-05-24 08:09:30 status half-installed lsb-base:all 4.1+Debian8+deb7u1
2017-05-24 08:09:30 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2017-05-24 08:09:30 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2017-05-24 08:09:30 upgrade mawk:armhf 1.3.3-17 1.3.3-17
2017-05-24 08:09:30 status half-configured mawk:armhf 1.3.3-17
2017-05-24 08:09:30 status unpacked mawk:armhf 1.3.3-17
2017-05-24 08:09:30 status half-installed mawk:armhf 1.3.3-17
2017-05-24 08:09:30 status half-installed mawk:armhf 1.3.3-17
2017-05-24 08:09:30 status unpacked mawk:armhf 1.3.3-17
2017-05-24 08:09:30 status unpacked mawk:armhf 1.3.3-17
2017-05-24 08:09:30 install libncurses5:armhf <none> 5.9-10
2017-05-24 08:09:30 status half-installed libncurses5:armhf 5.9-10
2017-05-24 08:09:30 status unpacked libncurses5:armhf 5.9-10
2017-05-24 08:09:30 status unpacked libncurses5:armhf 5.9-10
2017-05-24 08:09:30 install libtinfo5:armhf <none> 5.9-10
2017-05-24 08:09:30 status half-installed libtinfo5:armhf 5.9-10
2017-05-24 08:09:30 status unpacked libtinfo5:armhf 5.9-10
2017-05-24 08:09:30 status unpacked libtinfo5:armhf 5.9-10
2017-05-24 08:09:30 install ncurses-base:all <none> 5.9-10
2017-05-24 08:09:30 status half-installed ncurses-base:all 5.9-10
2017-05-24 08:09:30 status unpacked ncurses-base:all 5.9-10
2017-05-24 08:09:30 status unpacked ncurses-base:all 5.9-10
2017-05-24 08:09:30 install ncurses-bin:armhf <none> 5.9-10
2017-05-24 08:09:30 status half-installed ncurses-bin:armhf 5.9-10
2017-05-24 08:09:30 status unpacked ncurses-bin:armhf 5.9-10
2017-05-24 08:09:30 status unpacked ncurses-bin:armhf 5.9-10
2017-05-24 08:09:31 install libpam-modules:armhf <none> 1.1.3-7.1
2017-05-24 08:09:31 status half-installed libpam-modules:armhf 1.1.3-7.1
2017-05-24 08:09:31 status unpacked libpam-modules:armhf 1.1.3-7.1
2017-05-24 08:09:31 status unpacked libpam-modules:armhf 1.1.3-7.1
2017-05-24 08:09:32 install libpam-modules-bin:armhf <none> 1.1.3-7.1
2017-05-24 08:09:32 status half-installed libpam-modules-bin:armhf 1.1.3-7.1
2017-05-24 08:09:32 status unpacked libpam-modules-bin:armhf 1.1.3-7.1
2017-05-24 08:09:32 status unpacked libpam-modules-bin:armhf 1.1.3-7.1
2017-05-24 08:09:32 install libpam-runtime:all <none> 1.1.3-7.1
2017-05-24 08:09:32 status half-installed libpam-runtime:all 1.1.3-7.1
2017-05-24 08:09:32 status unpacked libpam-runtime:all 1.1.3-7.1
2017-05-24 08:09:32 status unpacked libpam-runtime:all 1.1.3-7.1
2017-05-24 08:09:32 install libpam0g:armhf <none> 1.1.3-7.1
2017-05-24 08:09:32 status half-installed libpam0g:armhf 1.1.3-7.1
2017-05-24 08:09:32 status unpacked libpam0g:armhf 1.1.3-7.1
2017-05-24 08:09:32 status unpacked libpam0g:armhf 1.1.3-7.1
2017-05-24 08:09:32 upgrade perl-base:armhf 5.14.2-21+deb7u3 5.14.2-21+deb7u3
2017-05-24 08:09:32 status half-configured perl-base:armhf 5.14.2-21+deb7u3
2017-05-24 08:09:32 status unpacked perl-base:armhf 5.14.2-21+deb7u3
2017-05-24 08:09:32 status half-installed perl-base:armhf 5.14.2-21+deb7u3
2017-05-24 08:09:32 status half-installed perl-base:armhf 5.14.2-21+deb7u3
2017-05-24 08:09:32 status unpacked perl-base:armhf 5.14.2-21+deb7u3
2017-05-24 08:09:33 status unpacked perl-base:armhf 5.14.2-21+deb7u3
2017-05-24 08:09:33 install sed:armhf <none> 4.2.1-10
2017-05-24 08:09:33 status half-installed sed:armhf 4.2.1-10
2017-05-24 08:09:33 status unpacked sed:armhf 4.2.1-10
2017-05-24 08:09:33 status unpacked sed:armhf 4.2.1-10
2017-05-24 08:09:33 install sensible-utils:all <none> 0.0.7
2017-05-24 08:09:33 status half-installed sensible-utils:all 0.0.7
2017-05-24 08:09:33 status unpacked sensible-utils:all 0.0.7
2017-05-24 08:09:33 status unpacked sensible-utils:all 0.0.7
2017-05-24 08:09:33 install login:armhf <none> 1:4.1.5.1-1
2017-05-24 08:09:33 status half-installed login:armhf 1:4.1.5.1-1
2017-05-24 08:09:33 status unpacked login:armhf 1:4.1.5.1-1
2017-05-24 08:09:33 status unpacked login:armhf 1:4.1.5.1-1
2017-05-24 08:09:33 install passwd:armhf <none> 1:4.1.5.1-1
2017-05-24 08:09:33 status half-installed passwd:armhf 1:4.1.5.1-1
2017-05-24 08:09:33 status unpacked passwd:armhf 1:4.1.5.1-1
2017-05-24 08:09:33 status unpacked passwd:armhf 1:4.1.5.1-1
2017-05-24 08:09:34 install libslang2:armhf <none> 2.2.4-15
2017-05-24 08:09:34 status half-installed libslang2:armhf 2.2.4-15
2017-05-24 08:09:34 status unpacked libslang2:armhf 2.2.4-15
2017-05-24 08:09:34 status unpacked libslang2:armhf 2.2.4-15
2017-05-24 08:09:34 install initscripts:armhf <none> 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status half-installed initscripts:armhf 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status unpacked initscripts:armhf 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status unpacked initscripts:armhf 2.88dsf-41+deb7u1
2017-05-24 08:09:34 install sysv-rc:all <none> 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status half-installed sysv-rc:all 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status unpacked sysv-rc:all 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status unpacked sysv-rc:all 2.88dsf-41+deb7u1
2017-05-24 08:09:34 install sysvinit:armhf <none> 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status half-installed sysvinit:armhf 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status unpacked sysvinit:armhf 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status unpacked sysvinit:armhf 2.88dsf-41+deb7u1
2017-05-24 08:09:34 install sysvinit-utils:armhf <none> 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status half-installed sysvinit-utils:armhf 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status unpacked sysvinit-utils:armhf 2.88dsf-41+deb7u1
2017-05-24 08:09:34 status unpacked sysvinit-utils:armhf 2.88dsf-41+deb7u1
2017-05-24 08:09:34 install tar:armhf <none> 1.26+dfsg-0.1
2017-05-24 08:09:34 status half-installed tar:armhf 1.26+dfsg-0.1
2017-05-24 08:09:35 status unpacked tar:armhf 1.26+dfsg-0.1
2017-05-24 08:09:35 status unpacked tar:armhf 1.26+dfsg-0.1
2017-05-24 08:09:35 install tzdata:all <none> 2016d-0+deb7u1
2017-05-24 08:09:35 status half-installed tzdata:all 2016d-0+deb7u1
2017-05-24 08:09:35 status unpacked tzdata:all 2016d-0+deb7u1
2017-05-24 08:09:35 status unpacked tzdata:all 2016d-0+deb7u1
2017-05-24 08:09:35 install libustr-1.0-1:armhf <none> 1.0.4-3
2017-05-24 08:09:35 status half-installed libustr-1.0-1:armhf 1.0.4-3
2017-05-24 08:09:35 status unpacked libustr-1.0-1:armhf 1.0.4-3
2017-05-24 08:09:35 status unpacked libustr-1.0-1:armhf 1.0.4-3
2017-05-24 08:09:35 install bsdutils:armhf <none> 1:2.20.1-5.3
2017-05-24 08:09:35 status half-installed bsdutils:armhf 1:2.20.1-5.3
2017-05-24 08:09:35 status unpacked bsdutils:armhf 1:2.20.1-5.3
2017-05-24 08:09:35 status unpacked bsdutils:armhf 1:2.20.1-5.3
2017-05-24 08:09:36 install libblkid1:armhf <none> 2.20.1-5.3
2017-05-24 08:09:36 status half-installed libblkid1:armhf 2.20.1-5.3
2017-05-24 08:09:36 status unpacked libblkid1:armhf 2.20.1-5.3
2017-05-24 08:09:36 status unpacked libblkid1:armhf 2.20.1-5.3
2017-05-24 08:09:36 install libmount1:armhf <none> 2.20.1-5.3
2017-05-24 08:09:36 status half-installed libmount1:armhf 2.20.1-5.3
2017-05-24 08:09:36 status unpacked libmount1:armhf 2.20.1-5.3
2017-05-24 08:09:36 status unpacked libmount1:armhf 2.20.1-5.3
2017-05-24 08:09:36 install libuuid1:armhf <none> 2.20.1-5.3
2017-05-24 08:09:36 status half-installed libuuid1:armhf 2.20.1-5.3
2017-05-24 08:09:36 status unpacked libuuid1:armhf 2.20.1-5.3
2017-05-24 08:09:36 status unpacked libuuid1:armhf 2.20.1-5.3
2017-05-24 08:09:36 install mount:armhf <none> 2.20.1-5.3
2017-05-24 08:09:36 status half-installed mount:armhf 2.20.1-5.3
2017-05-24 08:09:36 status unpacked mount:armhf 2.20.1-5.3
2017-05-24 08:09:36 status unpacked mount:armhf 2.20.1-5.3
2017-05-24 08:09:36 install util-linux:armhf <none> 2.20.1-5.3
2017-05-24 08:09:36 status half-installed util-linux:armhf 2.20.1-5.3
2017-05-24 08:09:37 status unpacked util-linux:armhf 2.20.1-5.3
2017-05-24 08:09:37 status unpacked util-linux:armhf 2.20.1-5.3
2017-05-24 08:09:37 install liblzma5:armhf <none> 5.1.1alpha+20120614-2
2017-05-24 08:09:37 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2
2017-05-24 08:09:37 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2
2017-05-24 08:09:37 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2
2017-05-24 08:09:37 install xz-utils:armhf <none> 5.1.1alpha+20120614-2
2017-05-24 08:09:37 status half-installed xz-utils:armhf 5.1.1alpha+20120614-2
2017-05-24 08:09:37 status unpacked xz-utils:armhf 5.1.1alpha+20120614-2
2017-05-24 08:09:37 status unpacked xz-utils:armhf 5.1.1alpha+20120614-2
2017-05-24 08:09:38 install zlib1g:armhf <none> 1:1.2.7.dfsg-13
2017-05-24 08:09:38 status half-installed zlib1g:armhf 1:1.2.7.dfsg-13
2017-05-24 08:09:38 status unpacked zlib1g:armhf 1:1.2.7.dfsg-13
2017-05-24 08:09:38 status unpacked zlib1g:armhf 1:1.2.7.dfsg-13
2017-05-24 08:09:38 startup packages configure
2017-05-24 08:09:38 configure lsb-base:all 4.1+Debian8+deb7u1 <none>
2017-05-24 08:09:38 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2017-05-24 08:09:38 status half-configured lsb-base:all 4.1+Debian8+deb7u1
2017-05-24 08:09:38 status installed lsb-base:all 4.1+Debian8+deb7u1
2017-05-24 08:09:38 configure ncurses-base:all 5.9-10 <none>
2017-05-24 08:09:38 status unpacked ncurses-base:all 5.9-10
2017-05-24 08:09:38 status unpacked ncurses-base:all 5.9-10
2017-05-24 08:09:38 status half-configured ncurses-base:all 5.9-10
